endTime,artistName,trackName,msPlayed,track_id
2020-06-19 00:17,Mick Gordon,Cyberdemon,6873,6Y75gBp8334c2d4dg5B7vO
2020-06-19 00:18,Phoebe Bridgers,DVD Menu,69931,6Tz8qANEIf4aCGEEjcxgKg
2020-06-19 00:22,Phoebe Bridgers,Garden Song,219681,5uQRmdIqyMmKPWJcot4UmV
2020-06-19 00:25,Phoebe Bridgers,Kyoto,184524,49UDOG8DoBajXTJSTqfRMg
2020-06-19 09:07,Phoebe Bridgers,Punisher,189622,7yR6GEJsPI6kmNRvFkPuN3
2020-06-19 09:11,Phoebe Bridgers,Halloween,219877,7FQ2JgfdkBcBb3BEbu8Axf
2020-06-19 19:03,Radnor & Lee,Simple Harmony,152714,1J311NVkJ6kfvuBJ0Pjopj
2020-06-19 19:08,Radnor & Lee,Ohio,292905,4l6g60Yuq1eUlSlz4ekkWb
2020-06-19 19:12,Radnor & Lee,Good Enough,238187,72EUm9AzGypU9dTtk9Nu3o
2020-06-19 19:14,Radnor & Lee,Gimme Your Mess,107954,6GnPtE1vYI4NaU3nMqNOjC
2020-06-19 19:17,Radnor & Lee,Outside In,172696,0Ghd395Gw9eBYXHxYXLDo6
2020-06-19 19:21,Radnor & Lee,Ohio,292720,4l6g60Yuq1eUlSlz4ekkWb
2020-06-19 19:25,Radnor & Lee,Good Enough,238283,72EUm9AzGypU9dTtk9Nu3o
2020-06-19 19:29,Radnor & Lee,Gimme Your Mess,209953,6GnPtE1vYI4NaU3nMqNOjC
2020-06-19 19:35,Radnor & Lee,Down in the Dirt,344647,4idj01eguEtzUNUThfoapt
2020-06-19 19:36,Radnor & Lee,The Thing About Grief,59944,4Pu440xqLgOkQn39LBiZcG
2020-06-19 19:40,Radnor & Lee,Greene Street,239681,6LjZaWa83LGL79hxmuKsuU
2020-06-20 00:43,Phoebe Bridgers,Halloween,51405,7FQ2JgfdkBcBb3BEbu8Axf
2020-06-20 00:46,Phoebe Bridgers,Chinese Satellite,217070,60zlkOrTCHjpRTd1g6PI5y
2020-06-20 00:51,Phoebe Bridgers,Moon Song,277676,6sALLrBPX30ptG1HWH6vmW
2020-06-20 00:55,Phoebe Bridgers,Savior Complex,241640,4BNew3AqFCvABdFsYMRiyB
2020-06-20 00:58,Phoebe Bridgers,ICU,190093,38KCyQcBswyAd7xSQnDIU4
2020-06-20 01:02,Phoebe Bridgers,Graceland Too,236350,44spdItKKM7rOtKswbBG0U
2020-06-20 01:08,Phoebe Bridgers,I Know The End,344692,3cr3oAP4bQFNjZBV7ElKaB
2020-06-20 01:08,Phoebe Bridgers,I See You,8554,6Xa2Y4EP6wossxPv1kUy2c
2020-06-21 02:15,Phoebe Bridgers,Punisher,5224,7yR6GEJsPI6kmNRvFkPuN3
2020-06-21 02:19,Phoebe Bridgers,Chinese Satellite,217070,60zlkOrTCHjpRTd1g6PI5y
2020-06-21 02:22,Phoebe Bridgers,Moon Song,186957,6sALLrBPX30ptG1HWH6vmW
2020-06-21 02:24,Phoebe Bridgers,Savior Complex,99683,4BNew3AqFCvABdFsYMRiyB
2020-06-22 11:34,Radnor & Lee,Resignation Song,24018,0NiaRc5KCwKsfF6sYiSF8m
2020-06-23 04:47,Christian Lee Hutson,Atheist,180440,1G24yZgfwpRAPfhJuP2nt4
2020-06-23 05:18,Christian Lee Hutson,Talk,126888,5w6eNP5cMhqDqLi5IWLIlx
2020-06-23 05:21,Christian Lee Hutson,Lose This Number,199893,3g8nKpXsQtXv0lcN4UGVGs
2020-06-24 07:59,Chrome Sparks,Still Think,335600,3lBmRItELTgJjFMgI76Onm
2020-06-24 18:41,Imagine Dragons,Demons,6147,3LlAyCYU26dvFZBDUIMb7a
2020-06-24 18:42,Lil Wayne,Demon,32543,1kaxyXcAi5ZHF3Q94QXsHK
2020-06-24 18:48,First Aid Kit,Nothing Has to Be True,163038,6RLCQkGIeLR7aoaozvheNT
2020-06-24 18:51,Alec Benjamin,Demons,163112,57zRWXTQCFRV3zwg0NR8Ck
2020-06-24 18:54,Alec Benjamin,Oh My God,187710,44I5NYJ7CGEcaLOuG2zJsU
2020-06-24 23:39,L'Impératrice,Voodoo?,157918,4Ni2AUpC7d4M7nFMa3oquY
2020-06-25 05:41,Tom Segura,Every Family Has Stupid,10261,73nOTfn3rWQSsXMnINsiY4
2020-06-25 05:41,Tom Segura,Los Angeles Is Spanish,67285,7Mpu2R8BvELOSbt7wQa8JY
2020-06-25 05:43,Tom Segura,Los Angeles Is Spanish,110888,7Mpu2R8BvELOSbt7wQa8JY
2020-06-25 10:06,Alec Benjamin,The Book of You & I,29946,2CSrG5fnBpcdfPXg7sJUBi
2020-06-25 10:06,Slow Club,When I Go,46579,7oIjNAGO9guYVTra0ZnBAB
2020-06-25 10:06,Alec Benjamin,Demons,828,57zRWXTQCFRV3zwg0NR8Ck
2020-06-25 19:57,Dan Wilson,Never Meant to Love You,225249,23TYwlHq8oG2kT0h7EILln
2020-06-25 20:01,Dan Wilson,Not Ready to Make Nice,223189,1CAtEucNgD2dTjoJSKzxh9
2020-06-25 20:03,Dan Wilson,Landing,171470,4DXPV5u2kCRSh4UecblA9n
2020-06-25 20:07,Dan Wilson,Treacherous,221710,0iLkXVkkOscwPAiutXNR5I
2020-06-25 20:11,Dan Wilson,Borrowed,207784,6qW8YeevxzM7tbMyKwUSiq
2020-06-25 20:14,Dan Wilson,Your Misfortune,184943,2BNcPUtBkPT0bX3Vs6Lkez
2020-06-25 20:18,Dan Wilson,When the Stars Come Out,237947,6vCrufFGHGmooHzlBsuSKR
2020-06-25 20:22,Dan Wilson,If I Walk Away,239943,0XtxZGNxj1EAi4tHmWzHlj
2020-06-25 20:26,Dan Wilson,Closing Time,275211,2c37gZGpCK4R1c9wV2kS4z
2020-06-26 01:51,Tom Segura,White Girls With Cornrows,54039,4RELuqjg4aPtrlRnzZpAV5
2020-06-26 01:53,Phoebe Bridgers,Savior Complex,115844,4BNew3AqFCvABdFsYMRiyB
2020-06-27 00:31,Phoebe Bridgers,DVD Menu,69931,6Tz8qANEIf4aCGEEjcxgKg
2020-06-27 00:35,Phoebe Bridgers,Garden Song,219681,5uQRmdIqyMmKPWJcot4UmV
2020-06-27 00:48,Phoebe Bridgers,Kyoto,184524,49UDOG8DoBajXTJSTqfRMg
2020-06-27 00:49,Phoebe Bridgers,Punisher,68605,7yR6GEJsPI6kmNRvFkPuN3
2020-06-27 00:49,Phoebe Bridgers,Kyoto,1462,49UDOG8DoBajXTJSTqfRMg
2020-06-27 00:50,Phoebe Bridgers,Punisher,3668,7yR6GEJsPI6kmNRvFkPuN3
2020-06-27 00:50,Phoebe Bridgers,Halloween,1857,7FQ2JgfdkBcBb3BEbu8Axf
2020-06-27 00:53,Phoebe Bridgers,Punisher,189622,7yR6GEJsPI6kmNRvFkPuN3
2020-06-27 00:57,Phoebe Bridgers,Halloween,271266,7FQ2JgfdkBcBb3BEbu8Axf
